id,created_at,user_id,slant,complexity,entertainment,sentiment
17,2024-04-25 21:11:35.340764+00,user_2fbBaikFt78ejPPwICvSZ9frqY8,100,0,0,0
18,2024-04-25 21:47:29.259827+00,user_2fbBaikFt78ejPPwICvSZ9frqY8,100,0,0,0
19,2024-04-26 16:39:10.626853+00,user_2fU9K3LbleJBLUzLKPq1rrFoca0,50,100,0,0
20,2024-04-26 16:40:14.655075+00,user_2fU9K3LbleJBLUzLKPq1rrFoca0,50,0,0,100
21,2024-04-26 16:59:53.225851+00,user_2fU9K3LbleJBLUzLKPq1rrFoca0,50,0,100,0
22,2024-04-26 17:00:25.100965+00,user_2fU9K3LbleJBLUzLKPq1rrFoca0,50,0,0,100
23,2024-04-26 17:01:21.868151+00,user_2fU9K3LbleJBLUzLKPq1rrFoca0,50,0,0,0
24,2024-04-26 17:02:59.775201+00,user_2fU9K3LbleJBLUzLKPq1rrFoca0,100,0,0,0
25,2024-04-26 17:03:15.020474+00,user_2fU9K3LbleJBLUzLKPq1rrFoca0,0,0,0,0
26,2024-04-27 03:43:33.735135+00,user_2fU9K3LbleJBLUzLKPq1rrFoca0,50,0,0,0
27,2024-04-27 11:02:38.633368+00,user_2fU9K3LbleJBLUzLKPq1rrFoca0,50,0,0,0
28,2024-04-27 13:48:19.865581+00,user_2fU9K3LbleJBLUzLKPq1rrFoca0,100,0,0,0
29,2024-04-27 13:48:28.580206+00,user_2fU9K3LbleJBLUzLKPq1rrFoca0,0,0,0,0
30,2024-04-27 13:49:30.910147+00,user_2fU9K3LbleJBLUzLKPq1rrFoca0,50,0,0,0
31,2024-04-27 13:53:29.409866+00,user_2fU9K3LbleJBLUzLKPq1rrFoca0,50,0,0,0
32,2024-04-27 13:53:39.751544+00,user_2fU9K3LbleJBLUzLKPq1rrFoca0,50,100,0,0
33,2024-04-27 13:53:54.176908+00,user_2fU9K3LbleJBLUzLKPq1rrFoca0,50,0,0,0
34,2024-04-27 14:03:26.239064+00,user_2fU9K3LbleJBLUzLKPq1rrFoca0,50,0,100,0
35,2024-04-27 14:30:50.436707+00,user_2fHkgigzGrFzFUSyXw5u6fmWJNn,100,0,0,0
36,2024-04-27 15:16:02.879751+00,user_2fU9K3LbleJBLUzLKPq1rrFoca0,50,0,0,0
37,2024-04-27 15:17:18.384113+00,user_2fU9K3LbleJBLUzLKPq1rrFoca0,100,0,0,0
38,2024-04-27 15:17:26.065933+00,user_2fU9K3LbleJBLUzLKPq1rrFoca0,50,0,100,0
39,2024-04-27 15:19:10.208923+00,user_2fU9K3LbleJBLUzLKPq1rrFoca0,50,0,0,0
40,2024-04-27 21:18:31.58682+00,user_2fbBaikFt78ejPPwICvSZ9frqY8,100,0,0,0
41,2024-04-27 21:18:48.626488+00,user_2fbBaikFt78ejPPwICvSZ9frqY8,0,0,0,0
42,2024-04-28 10:25:41.586575+00,user_2fU9K3LbleJBLUzLKPq1rrFoca0,50,0,0,0
43,2024-04-28 10:25:49.756934+00,user_2fU9K3LbleJBLUzLKPq1rrFoca0,50,0,100,0
44,2024-04-28 10:26:53.571533+00,user_2fU9K3LbleJBLUzLKPq1rrFoca0,50,0,0,0
45,2024-04-28 10:27:00.378622+00,user_2fU9K3LbleJBLUzLKPq1rrFoca0,50,0,0,100
46,2024-04-28 10:27:16.056069+00,user_2fU9K3LbleJBLUzLKPq1rrFoca0,50,0,100,0
47,2024-04-28 10:27:38.679916+00,user_2fU9K3LbleJBLUzLKPq1rrFoca0,50,100,0,0
48,2024-04-28 10:27:45.816674+00,user_2fU9K3LbleJBLUzLKPq1rrFoca0,50,0,0,0
49,2024-04-28 10:27:56.709231+00,user_2fU9K3LbleJBLUzLKPq1rrFoca0,100,0,0,0
50,2024-04-28 10:28:01.087367+00,user_2fU9K3LbleJBLUzLKPq1rrFoca0,0,0,0,0
51,2024-04-28 10:28:11.074613+00,user_2fU9K3LbleJBLUzLKPq1rrFoca0,100,0,0,0
52,2024-04-28 10:35:37.622808+00,user_2fU9K3LbleJBLUzLKPq1rrFoca0,50,0,0,0
53,2024-04-28 10:35:59.512572+00,user_2fU9K3LbleJBLUzLKPq1rrFoca0,50,100,0,0
54,2024-04-28 10:36:26.957031+00,user_2fU9K3LbleJBLUzLKPq1rrFoca0,50,0,0,0
55,2024-04-28 10:36:33.853835+00,user_2fU9K3LbleJBLUzLKPq1rrFoca0,50,100,0,0
56,2024-04-28 10:39:45.81491+00,user_2fU9K3LbleJBLUzLKPq1rrFoca0,50,0,0,0
57,2024-04-28 10:40:31.503768+00,user_2fU9K3LbleJBLUzLKPq1rrFoca0,50,0,0,0
58,2024-04-28 10:40:42.97008+00,user_2fU9K3LbleJBLUzLKPq1rrFoca0,0,0,0,0
59,2024-04-28 10:41:01.508931+00,user_2fU9K3LbleJBLUzLKPq1rrFoca0,100,0,0,0
60,2024-04-28 10:41:58.422701+00,user_2fU9K3LbleJBLUzLKPq1rrFoca0,0,0,0,0
61,2024-04-28 10:44:17.614511+00,user_2fU9K3LbleJBLUzLKPq1rrFoca0,0,0,0,0
62,2024-04-28 10:45:46.127308+00,user_2fU9K3LbleJBLUzLKPq1rrFoca0,50,0,0,0
63,2024-04-28 10:46:06.259308+00,user_2fU9K3LbleJBLUzLKPq1rrFoca0,100,0,0,0
64,2024-04-28 10:47:32.035898+00,user_2fU9K3LbleJBLUzLKPq1rrFoca0,50,0,0,0
65,2024-04-28 10:47:39.801497+00,user_2fU9K3LbleJBLUzLKPq1rrFoca0,50,0,100,0
66,2024-04-28 10:48:18.005356+00,user_2fU9K3LbleJBLUzLKPq1rrFoca0,50,0,0,0
67,2024-04-28 10:48:24.40343+00,user_2fU9K3LbleJBLUzLKPq1rrFoca0,50,0,0,100
68,2024-04-28 10:49:17.557206+00,user_2fU9K3LbleJBLUzLKPq1rrFoca0,50,0,0,100
69,2024-04-28 10:49:23.400502+00,user_2fU9K3LbleJBLUzLKPq1rrFoca0,100,0,0,0
70,2024-04-28 20:24:52.83338+00,user_2fU9K3LbleJBLUzLKPq1rrFoca0,100,0,0,0
71,2024-04-29 07:43:32.98278+00,user_2fU9K3LbleJBLUzLKPq1rrFoca0,50,0,0,0
72,2024-04-29 12:34:41.067269+00,user_2fU9K3LbleJBLUzLKPq1rrFoca0,50,100,0,0
73,2024-04-29 13:30:21.359454+00,user_2fU9K3LbleJBLUzLKPq1rrFoca0,50,0,0,0
74,2024-04-29 14:06:50.790351+00,user_2fbBaikFt78ejPPwICvSZ9frqY8,0,0,0,0
75,2024-04-29 15:01:19.823475+00,user_2fU9K3LbleJBLUzLKPq1rrFoca0,100,0,0,0
76,2024-04-29 15:04:43.92644+00,user_2fHkgigzGrFzFUSyXw5u6fmWJNn,100,0,0,0
77,2024-04-29 15:04:47.239983+00,user_2fHkgigzGrFzFUSyXw5u6fmWJNn,100,0,0,0
78,2024-04-29 16:23:14.248526+00,user_2fHkgigzGrFzFUSyXw5u6fmWJNn,0,0,0,0
79,2024-04-29 16:24:59.920705+00,user_2fHkgigzGrFzFUSyXw5u6fmWJNn,0,0,0,0
80,2024-04-29 16:26:48.704062+00,user_2fHkgigzGrFzFUSyXw5u6fmWJNn,0,0,0,0
81,2024-04-29 16:26:58.348593+00,user_2fHkgigzGrFzFUSyXw5u6fmWJNn,100,0,0,0
82,2024-04-29 16:28:52.844903+00,user_2fHkgigzGrFzFUSyXw5u6fmWJNn,0,0,0,0
83,2024-04-29 16:29:00.260562+00,user_2fHkgigzGrFzFUSyXw5u6fmWJNn,50,0,0,0
84,2024-04-29 16:32:18.547572+00,user_2fU9K3LbleJBLUzLKPq1rrFoca0,100,0,0,0
85,2024-04-29 16:32:26.888949+00,user_2fU9K3LbleJBLUzLKPq1rrFoca0,50,0,0,0
86,2024-04-29 16:42:41.434806+00,user_2fHkgigzGrFzFUSyXw5u6fmWJNn,50,0,0,0
87,2024-04-29 16:42:46.521545+00,user_2fHkgigzGrFzFUSyXw5u6fmWJNn,100,0,0,0
88,2024-04-29 16:42:52.8437+00,user_2fHkgigzGrFzFUSyXw5u6fmWJNn,0,0,0,0
89,2024-04-29 16:48:04.896589+00,user_2fU9K3LbleJBLUzLKPq1rrFoca0,100,0,0,0
90,2024-04-29 16:48:12.628694+00,user_2fU9K3LbleJBLUzLKPq1rrFoca0,50,0,0,0
91,2024-04-29 17:19:13.753205+00,user_2fU9K3LbleJBLUzLKPq1rrFoca0,50,0,0,0
92,2024-04-29 17:19:40.048559+00,user_2fU9K3LbleJBLUzLKPq1rrFoca0,50,0,0,100
93,2024-04-29 17:19:48.605933+00,user_2fU9K3LbleJBLUzLKPq1rrFoca0,50,0,0,0
94,2024-04-29 17:19:56.388035+00,user_2fU9K3LbleJBLUzLKPq1rrFoca0,50,0,0,100
95,2024-04-29 17:20:32.79623+00,user_2fU9K3LbleJBLUzLKPq1rrFoca0,50,0,0,0
96,2024-04-29 17:21:15.071971+00,user_2fU9K3LbleJBLUzLKPq1rrFoca0,50,100,0,0
