id,db_created_time,session_created_time,user_id,session_type
6,2024-04-24 21:48:38.957949+00,1713995318218,user_2fHkgigzGrFzFUSyXw5u6fmWJNn,started
7,2024-04-24 21:49:15.647133+00,1713995318218,user_2fHkgigzGrFzFUSyXw5u6fmWJNn,ended
8,2024-04-24 21:55:44.746947+00,1713995743030,user_2fHkgigzGrFzFUSyXw5u6fmWJNn,started
9,2024-04-25 07:39:50.247683+00,1714021008578,user_2fU9K3LbleJBLUzLKPq1rrFoca0,started
10,2024-04-25 15:38:57.802011+00,1713892074480,user_2fHkgigzGrFzFUSyXw5u6fmWJNn,ended
11,2024-04-25 15:39:34.931387+00,1714059574102,user_2fHkgigzGrFzFUSyXw5u6fmWJNn,started
12,2024-04-25 15:45:09.467212+00,1714059574102,user_2fHkgigzGrFzFUSyXw5u6fmWJNn,ended
13,2024-04-25 15:46:04.342267+00,1714059962671,user_2fbBaikFt78ejPPwICvSZ9frqY8,started
14,2024-04-25 15:49:55.155424+00,1714059962671,user_2fbBaikFt78ejPPwICvSZ9frqY8,ended
15,2024-04-25 15:50:17.501878+00,1714060213518,user_2fHkgigzGrFzFUSyXw5u6fmWJNn,started
16,2024-04-25 15:50:41.070217+00,1714060213518,user_2fHkgigzGrFzFUSyXw5u6fmWJNn,ended
17,2024-04-25 15:50:48.388732+00,1714060247320,user_2fbBaikFt78ejPPwICvSZ9frqY8,started
18,2024-04-25 15:56:52.700162+00,1714060611248,user_2fbBaikFt78ejPPwICvSZ9frqY8,started
19,2024-04-25 16:11:05.156505+00,1714060611248,user_2fbBaikFt78ejPPwICvSZ9frqY8,ended
20,2024-04-25 16:12:03.257354+00,1714061522504,user_2fbEkmMCcVgeDKxg9yGX5b3rQqN,started
21,2024-04-25 20:21:20.546168+00,1714060247320,user_2fbBaikFt78ejPPwICvSZ9frqY8,ended
22,2024-04-25 21:10:30.087532+00,1714079427639,user_2fbBaikFt78ejPPwICvSZ9frqY8,started
23,2024-04-27 13:55:18.575634+00,1713976927715,user_2fU9K3LbleJBLUzLKPq1rrFoca0,ended
24,2024-04-27 13:56:19.475449+00,1714226178142,user_2fU9K3LbleJBLUzLKPq1rrFoca0,started
25,2024-04-27 14:30:47.75315+00,1714228244886,user_2fHkgigzGrFzFUSyXw5u6fmWJNn,started
26,2024-04-27 15:18:34.877123+00,1714226178142,user_2fU9K3LbleJBLUzLKPq1rrFoca0,ended
27,2024-04-27 15:18:36.197481+00,1714231114247,user_2fU9K3LbleJBLUzLKPq1rrFoca0,started
28,2024-04-29 12:34:37.457603+00,1714394075530,user_2fU9K3LbleJBLUzLKPq1rrFoca0,started
29,2024-04-29 14:07:31.980557+00,1714079427639,user_2fbBaikFt78ejPPwICvSZ9frqY8,ended
30,2024-04-29 14:07:44.80306+00,1714399663473,user_2fHkgigzGrFzFUSyXw5u6fmWJNn,started
31,2024-04-29 14:08:09.234097+00,1714231114247,user_2fU9K3LbleJBLUzLKPq1rrFoca0,ended
32,2024-04-29 14:08:12.036938+00,1714399691009,user_2fU9K3LbleJBLUzLKPq1rrFoca0,started
33,2024-04-29 14:08:39.078402+00,1714399691009,user_2fU9K3LbleJBLUzLKPq1rrFoca0,ended
34,2024-04-29 14:08:41.374476+00,1714399720802,user_2fU9K3LbleJBLUzLKPq1rrFoca0,started
35,2024-04-29 14:52:34.165373+00,1714402349721,user_2fHkgigzGrFzFUSyXw5u6fmWJNn,started
41,2024-04-29 16:28:46.267118+00,1714021008578,user_2fU9K3LbleJBLUzLKPq1rrFoca0,ended
42,2024-04-29 16:28:50.718401+00,1714408128501,user_2fU9K3LbleJBLUzLKPq1rrFoca0,started
43,2024-04-29 16:47:33.396394+00,1714399720802,user_2fU9K3LbleJBLUzLKPq1rrFoca0,ended
44,2024-04-29 16:47:34.006177+00,1714409252603,user_2fU9K3LbleJBLUzLKPq1rrFoca0,started
45,2024-04-29 16:47:48.736466+00,1714409252603,user_2fU9K3LbleJBLUzLKPq1rrFoca0,ended
46,2024-04-29 16:47:57.515794+00,1714409276237,user_2fU9K3LbleJBLUzLKPq1rrFoca0,started
47,2024-04-29 17:02:27.650086+00,1714410145970,user_2fHkgigzGrFzFUSyXw5u6fmWJNn,started
48,2024-04-29 19:34:57.532649+00,1714408128501,user_2fU9K3LbleJBLUzLKPq1rrFoca0,ended
49,2024-04-29 19:35:07.329423+00,1714419305866,user_2fU9K3LbleJBLUzLKPq1rrFoca0,started
50,2024-04-29 20:40:14.896692+00,1714409276237,user_2fU9K3LbleJBLUzLKPq1rrFoca0,ended
51,2024-04-29 20:40:16.109016+00,1714423215601,user_2fU9K3LbleJBLUzLKPq1rrFoca0,started
52,2024-04-30 04:21:01.210868+00,1714419305866,user_2fU9K3LbleJBLUzLKPq1rrFoca0,ended
53,2024-04-30 04:21:35.463509+00,1714450894817,user_2fU9K3LbleJBLUzLKPq1rrFoca0,started
54,2024-04-30 17:17:48.088444+00,1714410145970,user_2fHkgigzGrFzFUSyXw5u6fmWJNn,ended
55,2024-04-30 17:47:16.769824+00,1714499234940,user_2fHkgigzGrFzFUSyXw5u6fmWJNn,started
56,2024-04-30 19:11:35.479591+00,1714504293454,user_2fHkgigzGrFzFUSyXw5u6fmWJNn,started
